id,name,category,description,price,color
36,sweet potato,Vegetable,"Naturally sweet and richly satisfying – our sweet potatoes are ideal for roasting, mashing, or turning into fries. A wholesome and delicious twist on a classic favorite.",7.5,Orange
37,tomato,Vegetable,"Juicy, vibrant, and full of garden-fresh flavor – our tomatoes are perfect for slicing, cooking, or blending into sauces. A staple ingredient that adds brightness and depth to any recipe.",2.0,Red
38,zuchini,Vegetable,"Mild, tender, and endlessly versatile – our zucchini is perfect for grilling, sautéing, or baking. Light in texture but big in possibilities, it’s a favorite for healthy, flavorful meals.",10.0,Green
39,butter,Dairy,"Rich, creamy, and full of flavor – our butter spreads beautifully and melts to perfection. Whether you’re baking, sautéing, or adding a pat to warm bread, it delivers that classic homemade taste in every bite.",5.0,Yellow
40,cheese,Dairy,"Smooth, savory, and full-bodied – our cheese is a delicious addition to sandwiches, pasta, or snack trays. Whether sliced, shredded, or melted, it’s a satisfying staple in any kitchen and loved by all ages.",10.0,Yellow
41,egg ,Dairy,"Fresh, versatile, and packed with protein – our eggs are essential for every meal. Scramble, boil, fry, or bake them into your favorite recipes – they’re the reliable kitchen hero you can always count on.",15.0,White
42,milk,Dairy,"Pure, creamy, and refreshingly smooth – our milk is perfect for drinking, cooking, or pairing with your morning cereal. Packed with calcium and freshness, it’s a daily staple for the whole family.",6.0,White
43,yogurt,Dairy,"Cool, creamy, and probiotic-rich – our yogurt is perfect for breakfasts, snacks, or smoothies.",3.5,White
44,bread,Bread,"Soft and hearty, our bread is the perfect base for your favorite sandwich or toast. Freshly baked
and full of that homey aroma, every slice is pure comfort.",8.0,Brown
45,bagel,Bread,"Golden and chewy, our bagels are a breakfast essential. Toast them, top them, or eat them plain –
they’re satisfying any time of day.",3.5,Brown
46,croissant,Bread,"Buttery and flaky, our croissants bring Parisian elegance to your plate. Perfect for breakfast or a
fancy snack.",2.0,Yellow
47,cookie,Bread,"Crispy on the edges, soft in the center – our cookies are baked to perfection and impossible to
resist.",2.0,Brown
48,doughnut,Bread,"Glazed and golden, our doughnuts are sweet circles of joy. Whether filled or frosted, they bring
smiles every time.",2.0,Yellow
49,muffin,Bread,"Moist, fluffy, and bursting with flavor – our muffins are baked to golden perfection. Whether it’s blueberry, chocolate chip, or classic vanilla, each bite delivers cozy sweetness and a soft texture that’s perfect for breakfast or snacking anytime.",2.0,Brown
50,tortilla,Bread,"Soft, flexible, and always fresh – our tortillas are ready to wrap your favorite flavors. Whether for tacos, burritos, or a simple sandwich roll, they bring authentic taste and versatility to every kitchen.",10.0,Yellow
51,hot dog,Meat,"Juicy, flavorful, and ready for the grill – our hot dogs are a family favorite. Serve them in a bun with your favorite toppings or slice them into dishes for that comforting, classic flavor everyone loves.",25.0,Pink
52,steak,Meat,"Rich, tender, and packed with bold flavor – our steak is a gourmet experience made easy. Whether grilled, pan-seared, or broiled, it’s the centerpiece that turns any dinner into something special.",120.0,Red
53,chicken,Meat,"Lean, versatile, and full of natural flavor – our chicken is perfect for every cuisine. Roast, grill, sauté, or shred it into your favorite dish – it’s a high-protein staple with endless possibilities.",30.0,Pink
54,lamb,Meat,"Juicy, tender, and rich in flavor – our lamb offers a bold twist on traditional dinners. Ideal for roasting or grilling, it’s a premium cut that adds depth and elegance to any meal.",100.0,Red
55,baked bean,Pantry,"Comforting, hearty, and full of flavor – our baked beans are slow-cooked in a savory-sweet sauce. Serve them as a side or enjoy them as a meal – they’re satisfying, simple, and delicious.",4.0,Brown
56,pickle,Pantry,"Crisp, tangy, and bursting with briny goodness – our pickles are a classic snack or sandwich companion. Add crunch and flavor to burgers, boards, or just enjoy them straight from the jar.",10.0,Green
57,peanut butter,Pantry,"Creamy, rich, and irresistibly nutty – our peanut butter is a pantry essential. Whether spread on toast, blended into smoothies, or enjoyed by the spoonful, it delivers comfort and protein in every bite. A delicious classic that never goes out of style.",6.0,Brown
58,jam,Pantry,"Sweet, fruity, and full of real fruit flavor – our jam is the perfect partner to toast, pastries, and desserts. With its smooth texture and vibrant taste, it turns any meal into a cozy, homemade moment of joy.",5.5,Red
59,cerael,Pantry,"Crispy, golden, and delicious – our cereal is the ultimate breakfast staple. Whether you enjoy it with cold milk or as a dry snack, it’s packed with energy and flavor to fuel your day from the first spoonful.",10.5,Yellow
60,apple sauce ,Pantry,"Smooth, naturally sweet, and made from real apples – our applesauce is a wholesome treat for kids and adults. Serve it chilled, warm, or as a side dish – it’s comfort food with a fruity twist.",4.0,Yellow
61,granola,Pantry,"Crunchy, hearty, and slightly sweet – our granola is a delicious mix of oats, nuts, and goodness. Perfect over yogurt, with milk, or by the handful, it’s a snack that’s as satisfying as it is nutritious.",8.5,Brown
62,pasta,Pantry,"Made from high-quality wheat and crafted to perfection – our pasta cooks up to the ideal texture every time. Whether paired with a rich sauce or tossed in a simple olive oil blend, it’s the base of countless satisfying meals.",3.0,Yellow
63,rice,Pantry,"Fluffy, light, and perfectly versatile – our rice is a go-to for countless cuisines. From stir-fries to pilafs, it’s the comfort food base that brings dishes together with simplicity and warmth.",10.0,White
64,honey,Pantry,"Golden, sweet, and naturally pure – our honey is perfect for drizzling, baking, or stirring into your favorite tea. Straight from nature, it adds a rich touch of sweetness to every meal or snack.",15.0,Yellow
65,hot sauce,Pantry,"Spicy, bold, and full of flavor – our hot sauce brings heat and depth to every bite. Whether you’re spicing up tacos, eggs, or your favorite dish, just a dash adds serious kick and excitement.",13.0,Red
66,olive oil,Pantry,"Smooth, aromatic, and cold-pressed for quality – our olive oil is the cornerstone of delicious cooking. Ideal for salads, sautéing, or dipping fresh bread, it brings richness and authenticity to every kitchen.",50.0,Green
67,candy,Snack,"Treat yourself to a burst of sweetness with our colorful candy selection. Each piece is crafted to deliver joy in every bite – perfect for sharing, snacking, or sneaking into your desk drawer. A delicious escape that brings smiles to kids and grown-ups alike.",3.0,Pink
68,cracker,Snack,"Light, crispy, and golden-baked – our crackers are a satisfying snack on their own or a perfect pairing with cheese and spreads. Whether at a picnic, in your lunchbox, or with a glass of wine, they’re a crunchy companion you’ll crave again and again.",16.0,Brown
69,granola bar,Snack,"Packed with oats, nuts, and natural sweetness, our granola bars fuel your busy day with delicious convenience. Great for breakfast on the go, a midday boost, or a healthy snack, they combine flavor, fiber, and satisfaction in every bite.",3.0,Brown
70,potato chip,Snack,"Crispy, salty, and impossible to resist – our potato chips deliver that classic crunch with every bite. Made from quality potatoes and cooked to golden perfection, they’re your go-to snack for movies, parties, or whenever cravings hit.",5.0,Yellow
71,beer,Drink,"Cold, crisp, and perfectly balanced – our beer brings refreshing satisfaction to any occasion. Whether you’re relaxing after work or toasting with friends, every sip delivers flavor, smoothness, and great times ahead.",10.0,Brown
72,soda,Drink,"Bubbly, sweet, and bursting with flavor – our soda is the ultimate fizzy treat. Serve it cold for a refreshing lift during meals, breaks, or celebrations. One sip and you're refreshed, recharged, and ready for more.",5.0,White
73,coffee,Drink,"Bold, aromatic, and full of character – our coffee fuels your day from the very first sip. Whether brewed strong or sipped slowly, it delivers the rich depth and comforting warmth every coffee lover deserves. Start your morning right.",8.0,Brown
74,energy drink,Drink,"Power through your day with our energizing drink – a bold blend of flavor and function. Packed with caffeine and essential B vitamins, it helps you stay sharp, focused, and on top of your game when you need that extra push.",8.0,Yellow
75,juice box,Drink,"Bursting with fruity goodness, our juice boxes are the perfect refreshment for kids and adults alike. Packed with vitamins and delicious flavor, they’re great for lunchboxes, picnics, or a quick, thirst-quenching treat on the go.",3.0,Yellow
76,wine,Drink,"Smooth, elegant, and full of character – our wine is crafted to complement life’s best moments. Whether paired with a meal or savored on its own, it brings warmth, richness, and refinement to every glass.",60.0,Red
77,bleach,Household and cleaning,"Powerful and effective, our bleach tackles the toughest stains and disinfects every surface with confidence. Whether you're brightening laundry or deep-cleaning your home, its reliable formula ensures sparkling results and hygienic spaces – a must-have for any cleaning routine.",13.0,White
78,dish soap,Household and cleaning,"Cut through grease with ease using our high-performance dish soap. Gentle on your hands yet tough on grime, it leaves every dish spotless and sparkling. Infused with a fresh scent, it makes dishwashing quicker, cleaner, and more enjoyable.",7.0,Colorful
79,fabric softner,Household and cleaning,"Wrap your clothes in long-lasting softness and a fresh, clean scent with our fabric softener. It reduces static, restores flexibility, and leaves fabrics feeling smooth and luxurious – laundry day has never felt so rewarding.",14.5,Colorful
80,paper towel,Household and cleaning,"Quickly absorb life’s little messes with our durable paper towels. Whether it’s spills, splashes, or cleaning on the go, they offer strength and reliability in every sheet. Keep your space clean with a roll that’s always up to the task.",10.0,White
81,laundry detergent,Household and cleaning,"Lift tough stains and brighten your wardrobe with our advanced laundry detergent. Designed to work in all machines and water temperatures, it keeps your clothes fresh, clean, and vibrant with every wash. Gentle on fabrics, strong on dirt.",16.5,Colorful
82,toilet paper,Household and cleaning,"Experience ultimate comfort with our ultra-soft toilet paper. Strong, absorbent, and gentle on skin, it’s designed for everyday care and confidence. Stock up on a bathroom essential that combines quality with comfort.",14.0,White
83,sponge,Household and cleaning,"Scrub smarter with our highly absorbent and durable sponge. Ideal for dishes, counters, and more – it cleans thoroughly without scratching. A kitchen classic designed to tackle messes with ease and comfort.",6.0,Yellow
84,surface spray,Household and cleaning,"Shine and sanitize every surface in your home with our multipurpose surface spray. Its powerful formula removes grease, grime, and germs while leaving behind a light, fresh scent. A clean home is just one spray away.",12.0,Colorful
85,body lotion,Personal care,"Pamper your skin with our nourishing body lotion. Infused with hydrating ingredients and a light scent, it leaves your skin feeling soft, smooth, and refreshed all day long. Perfect for daily use – because your skin deserves extra love.",20.0,Colorful
86,shaving cream,Personal care,"Enjoy a smooth, comfortable shave every time with our rich shaving cream. It cushions the blade, reduces irritation, and hydrates your skin while you shave. For results that are clean, close, and confidently smooth.",10.0,Colorful
87,sunscreen,Personal care,"Protect your skin from harmful UV rays with our lightweight, fast-absorbing sunscreen. Formulated with broad-spectrum coverage, it blends seamlessly without leaving residue, keeping your skin safe, smooth, and hydrated. Perfect for daily use, whether you're at the beach or just on the go – sun care that feels as good as it protects.",15.5,White
88,conditioner,Personal care,"Nourish and revive your hair with our rich, moisture-locking conditioner. Designed to smooth, soften, and strengthen, it leaves hair feeling silky without weighing it down. Whether you have curls, waves, or straight strands – this conditioner is your go-to for shine and softness that lasts all day.",13.5,Colorful
89,shampoo,Personal care,"Refresh your scalp and restore your shine with our revitalizing shampoo. Packed with gentle cleansers and nourishing ingredients, it removes buildup while hydrating your hair from root to tip. Lather, rinse, and enjoy the clean, healthy bounce your hair deserves every single wash.",13.5,Colorful
90,cotton swabs,Personal care,"Soft, safe, and versatile – our cotton swabs are perfect for precise care, from beauty routines to gentle baby cleanups. Made with tightly spun cotton tips and sturdy sticks, they offer comfort and control in every use. A must-have in every bathroom cabinet.",6.0,White
91,dental floss,Personal care,"Glide your way to a healthier smile with our gentle yet strong dental floss. Designed to slide easily between teeth and remove plaque without fraying, it keeps your mouth fresh and your gums protected. A small daily habit that delivers big oral care results.",5.0,White
92,deordorant,Personal care,"Stay confidently fresh all day with our clean-scented deodorant. Its long-lasting formula fights odor and moisture without irritation, leaving you dry, comfortable, and ready to take on anything. Glide it on in the morning and forget about it – we’ve got you covered.",10.0,Colorful
93,tissue,Personal care,"Soft, absorbent, and always comforting – our tissues are gentle on skin but tough on sneezes, smudges, or spills. Whether at home, in your bag, or on your desk, they’re the reliable choice for life’s everyday moments.",8.0,White
94,mouth wash,Personal care,"Give your breath a fresh start with our energizing mouthwash. It reaches where brushing can’t, fighting bacteria and leaving your mouth clean, minty, and confident. Use it daily as the perfect final step in your oral care routine.",20.5,Colorful
95,razor,Personal care,"Get a close, smooth shave with our ergonomically designed razor. Built with precision blades and a comfortable grip, it glides effortlessly across the skin, reducing nicks and irritation. For results that feel as good as they look, every single time.",10.0,Colorful
96,toothpaste,Personal care,"Whiten, protect, and refresh with every brush using our advanced toothpaste. Infused with minty flavor and cavity-fighting ingredients, it strengthens enamel and keeps your smile bright. Make it the first and last thing you use every day.",5.0,Colorful
97,toothbrush,Personal care,"Our toothbrush delivers a powerful clean with soft bristles and a comfortable grip. It’s designed to reach every corner, remove plaque gently, and keep gums healthy. Start and end your day with a toothbrush that works as hard as you do.",7.5,Colorful
98,cat food,Pet care,"Give your cat a bowl full of happiness with our nutritious and flavorful cat food. Specially crafted with high-quality ingredients, it supports healthy digestion, a shiny coat, and plenty of playful energy. Whether you have a curious kitten or a wise senior, every bite delivers taste and health in perfect balance – because your feline deserves the very best.",40.0,Brown
99,dog food,Pet care,"Fuel your dog’s day with our balanced and delicious dog food – a blend of essential nutrients and hearty flavor that keeps tails wagging. Formulated for overall wellness, it supports strong muscles, healthy skin, and boundless energy. From mealtime to playtime, give your furry friend food that’s both satisfying and supportive.",60.0,Brown
100,dog treat,Pet care,"Treat your pup to a snack they’ll love and you’ll feel great about – our dog treats are tasty, nutritious, and perfect for training or rewarding good behavior. Made with real ingredients and irresistible flavor, they’re tail-wagging good and crafted to show your best friend how much you care, one bite at a time.",30.5,Brown
101,pet shampoo,Pet care,"Keep your furry companion clean and fresh with our gentle pet shampoo. Specially formulated to cleanse without stripping natural oils, it leaves their coat soft, shiny, and smelling great. Suitable for dogs and cats alike, it’s the perfect addition to bath time – for a pet that looks, feels, and smells amazing.",15.5,Colorful
102,baby food, Baby care,"Packed with gentle nutrients and a naturally smooth texture, our baby food is made for your little one’s first bites. Every spoonful is full of wholesome ingredients that support healthy growth and development. Whether at home or on the go, it’s a delicious and nourishing way to introduce your baby to real food, with flavors they'll love and quality you can trust.",35.5,Colorful
103,baby wipe, Baby care,"Soft, strong, and perfectly gentle – our baby wipes are made for delicate skin and daily messes. Infused with soothing moisture and dermatologically tested, they clean thoroughly without irritation. Whether during diaper changes, mealtime cleanups, or playtime accidents, these wipes are a parent’s essential tool for clean, happy babies on the move.",10.0,Colorful
104,diaper, Baby care,"Our diapers are designed with your baby’s comfort in mind – ultra-soft, super absorbent, and made to keep delicate skin dry and happy all day and night. With a secure yet gentle fit, they allow for freedom of movement while preventing leaks and irritation. Whether it's playtime or bedtime, these diapers offer reliable protection you can trust with every change.",60.0,White
105,diaper cream, Baby care,"Our diaper cream offers gentle, effective protection for your baby’s most delicate skin. Enriched with soothing natural ingredients, it creates a breathable barrier that shields against moisture, redness, and irritation. Whether used daily or as needed, this cream brings comfort and calm to both babies and parents. Trusted by caregivers, it’s a nursery essential you’ll reach for with confidence.",30.0,Colorful
106,baby formula, Baby care,"Our baby formula is carefully crafted to support your little one's growth, development, and happiness from day one. Enriched with essential vitamins, minerals, and gentle proteins, it mimics the natural goodness of breast milk while ensuring balanced nutrition in every bottle. Trusted by parents and loved by babies, this formula provides peace of mind with every nourishing sip.",45.5,Yellow
